datetime,streamflow_m^3/s
1980-03-13T00:00:00Z,0.14528704
1980-03-14T00:00:00Z,0.83012676
1980-03-15T00:00:00Z,1.6715899
1980-03-16T00:00:00Z,1.068174
1980-03-17T00:00:00Z,0.31653327
1980-03-18T00:00:00Z,1.0988152
1980-03-19T00:00:00Z,0.8834298
1980-03-20T00:00:00Z,1.0925602
1980-03-21T00:00:00Z,1.4511842
1980-03-22T00:00:00Z,0.6531024
1980-03-23T00:00:00Z,0.8526665
1980-03-24T00:00:00Z,0.5467264
1980-03-25T00:00:00Z,0.2346932
1980-03-26T00:00:00Z,0.8245594
1980-03-27T00:00:00Z,1.5704638
1980-03-28T00:00:00Z,0.83498895
1980-03-29T00:00:00Z,1.0382496
1980-03-30T00:00:00Z,2.1999319
1980-03-31T00:00:00Z,1.1808507
1980-04-01T00:00:00Z,0.35768154
1980-04-02T00:00:00Z,0.58998525
1980-04-03T00:00:00Z,0.9486284
1980-04-04T00:00:00Z,1.5119115
1980-04-05T00:00:00Z,1.8251189
1980-04-06T00:00:00Z,2.601474
1980-04-07T00:00:00Z,1.743247
1980-04-08T00:00:00Z,0.92100775
1980-04-09T00:00:00Z,1.4467309
1980-04-10T00:00:00Z,2.2068658
1980-04-11T00:00:00Z,1.2970445
1980-04-12T00:00:00Z,0.6650655
1980-04-13T00:00:00Z,0.4525676
1980-04-14T00:00:00Z,0.24113531
1980-04-15T00:00:00Z,0.14885677
1980-04-16T00:00:00Z,0.12965748
1980-04-17T00:00:00Z,0.123540945
1980-04-18T00:00:00Z,0.1236209
1980-04-19T00:00:00Z,0.123901315
1980-04-20T00:00:00Z,0.12515149
1980-04-21T00:00:00Z,0.14920293
1980-04-22T00:00:00Z,1.9753649
1980-04-23T00:00:00Z,1.3615212
1980-04-24T00:00:00Z,1.3553782
1980-04-25T00:00:00Z,1.3504733
1980-04-26T00:00:00Z,0.5449144
1980-04-27T00:00:00Z,0.17790498
1980-04-28T00:00:00Z,0.16361116
1980-04-29T00:00:00Z,0.36000896
1980-04-30T00:00:00Z,0.35339364
1980-05-01T00:00:00Z,0.2035324
1980-05-02T00:00:00Z,0.14671537
1980-05-03T00:00:00Z,0.19424516
1980-05-04T00:00:00Z,0.31580952
1980-05-05T00:00:00Z,0.43026507
1980-05-06T00:00:00Z,0.37831533
1980-05-07T00:00:00Z,0.84339064
1980-05-08T00:00:00Z,1.4051503
1980-05-09T00:00:00Z,0.9094623
1980-05-10T00:00:00Z,3.3949234
1980-05-11T00:00:00Z,3.9680037
1980-05-12T00:00:00Z,3.571263
1980-05-13T00:00:00Z,1.6717831
1980-05-14T00:00:00Z,0.91868454
1980-05-15T00:00:00Z,1.8820176
1980-05-16T00:00:00Z,1.2248912
1980-05-17T00:00:00Z,0.4161404
1980-05-18T00:00:00Z,0.20762865
1980-05-19T00:00:00Z,0.1557687
1980-05-20T00:00:00Z,0.14578897
1980-05-21T00:00:00Z,0.14373927
1980-05-22T00:00:00Z,0.15100858
1980-05-23T00:00:00Z,0.2493907
1980-05-24T00:00:00Z,0.3614283
1980-05-25T00:00:00Z,0.45416185
1980-05-26T00:00:00Z,0.85949093
1980-05-27T00:00:00Z,1.0988665
1980-05-28T00:00:00Z,0.98688203
1980-05-29T00:00:00Z,0.77527684
1980-05-30T00:00:00Z,0.45942277
1980-05-31T00:00:00Z,1.004845
1980-06-01T00:00:00Z,1.1028906
1980-06-02T00:00:00Z,1.7546463
1980-06-03T00:00:00Z,1.2425252
1980-06-04T00:00:00Z,0.71658933
1980-06-05T00:00:00Z,0.6123282
1980-06-06T00:00:00Z,0.77675766
1980-06-07T00:00:00Z,0.8117154
1980-06-08T00:00:00Z,0.51990235
1980-06-09T00:00:00Z,0.2421101
1980-06-10T00:00:00Z,0.15527916
1980-06-11T00:00:00Z,0.16946264
1980-06-12T00:00:00Z,0.21994561
1980-06-13T00:00:00Z,0.6658874
1980-06-14T00:00:00Z,0.63119847
1980-06-15T00:00:00Z,1.1089851
1980-06-16T00:00:00Z,0.63952464
1980-06-17T00:00:00Z,0.19605811
1980-06-18T00:00:00Z,0.14724667
1980-06-19T00:00:00Z,0.17034377
1980-06-20T00:00:00Z,0.16281395
1980-06-21T00:00:00Z,0.17081355
1980-06-22T00:00:00Z,0.15979956
1980-06-23T00:00:00Z,0.14775263
1980-06-24T00:00:00Z,0.68591183
1980-06-25T00:00:00Z,0.4592609
1980-06-26T00:00:00Z,0.17806949
1980-06-27T00:00:00Z,0.42283645
1980-06-28T00:00:00Z,0.30257273
1980-06-29T00:00:00Z,0.15894186
1980-06-30T00:00:00Z,0.14426875
1980-07-01T00:00:00Z,0.18556769
1980-07-02T00:00:00Z,0.20321621
1980-07-03T00:00:00Z,0.26185673
1980-07-04T00:00:00Z,1.0228834
1980-07-05T00:00:00Z,0.620552
1980-07-06T00:00:00Z,0.21311313
1980-07-07T00:00:00Z,0.16620201
1980-07-08T00:00:00Z,0.14980799
1980-07-09T00:00:00Z,0.15651228
1980-07-10T00:00:00Z,0.14842242
1980-07-11T00:00:00Z,0.14250484
1980-07-12T00:00:00Z,0.144263
1980-07-13T00:00:00Z,0.14678322
